アイスティー,iced tea
アップルジュース,apple juice
インスタントコーヒー,instant coffee
ウイスキー,whisky
ウーロン茶,oolong tea
栄養ドリンク,energy drink
オレンジジュース,orange juice
カナディアンクラブ,Canadian Club
カフェイン抜きのコーヒー,decaf coffee
牛乳,milk
グレープジュース,grape juice
グレープフルーツジュース,grapefruit juice
紅茶,tea
コーヒー,coffee
コーラ,cola
ココア,cocoa
サイダー,soda pop
シーバスリーガル,Chivas Regal
シェイク,milk shake
シェリー,sherry
ジャックダニエル,Jack Daniel's
シャンペン,champagne
ジョニーウォーカー,Jonnie Walker
ジンジャーエール,ginger ale
ジン・トニック,gin and tonic
スープ,soup
スコッチ,Scotch
ダイキリ,daiquiri
豆乳,soymilk
トマトジュース,tomato juice
トムコリンズ,Tom-Collins
ドライマティーニ,dry martini
日本茶,green tea
飲むヨーグルト,yogurt drink
パンチ,punch
ビール,beer
ブラディメアリー,Bloody Mary
ブランデー,brandy
ベルモット,vermouth
マンゴージュース,mango juice
マンハッタン,Manhattan
水,water
麦茶,barley tea
ラガービール,lager
レモネード,lemonade
ワイン,wine
