アーティチョーク,artichoke
青ネギ,green onion
アスパラガス,asparagus
アボカド,avocado
インゲンマメ,kidney bean
エノキタケ,velvet shank
エンドウマメ,pea
オクラ,okra
かぶ,turnip
かぼちゃ,pumpkin
カリフラワー,cauliflower
キャベツ,cabbage
きゅうり,cucumber
ごぼう,burdock
さつまいも,sweet potato
さといも,taro
しいたけ,shiitake mushroom
じゃがいも,potato
しょうが,ginger
スクワッシュ,squash
ズッキーニ,zucchini
セロリ,celery
大根,Japanese radish
たけのこ,bamboo shoot
タマネギ,onion
チンゲン菜,bock choy
唐辛子,chili pepper
とうもろこし,corn
トマト,tomato
長ネギ,leek
なす,eggplant
ニンジン,carrot
にんにく,garlic
白菜,Chinese cabbage
パセリ,parsley
はつか大根,radish
ビート,beet
ピーマン,green pepper
ブロッコリー,broccoli
ほうれん草,spinach
マッシュルーム,mushroom
芽キャベツ,Brussels sprouts
もやし,bean sprouts
レタス,lettuce
レンコン,lotus root
